"","Sample","Sample source","Environment","Method","Average read length","Total bases","Total read pairs","Number of contigs (>= 0 bp)","Number of contigs (>= 2000 bp)","Number of contigs (>= 5000 bp)","Number of contigs (>= 10000 bp)","Number of contigs (>= 25000 bp)","Number of contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 2000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","Number of contigs","Total length","N50","N90","L50","L90","Number of viral contigs","Number of VMAGs","Number of species clusters","Number of genus clusters","Number of VMAGs with taxonomy information","Number of predicted lytic VMAGs","Number of predicted lysogenic VMAGs","Number of predicted integrated prophage VMAGs","Number of CheckV low-quality VMAGs","Number of CheckV medium-quality VMAGs","Number of CheckV high-quality VMAGs","Number of CheckV not-determined"
"1","SRR9161505","APC055_916","Human gut","Virome",281.4,4161259362,14788544,195247,13654,3534,1489,495,190,217108812,87843191,58337795,44494048,29374791,18608150,13654,87843191,10324,2483,1433,9698,183,164,147,124,54,83,30,51,82,24,19,35
"2","SRR9162904","APC055_916","Human gut","Mixed MG",149.8,735582373,4909488,90373,6203,1352,442,140,46,81458979,32134071,17825580,11761781,7072004,3866591,6203,32134071,5859,2384,1027,4730,66,65,48,58,10,36,8,21,41,5,2,17
"3","SRR9161504","APC055_917","Human gut","Virome",276,4720624501,17102848,170002,12035,3135,1339,476,178,193515957,77386482,51631395,39420061,26432307,16107803,12035,77386482,10453,2470,1268,8530,154,126,107,102,37,51,22,53,53,21,13,32
"4","SRR9162903","APC055_917","Human gut","Mixed MG",149.7,661566686,4418516,84992,4820,1545,614,152,63,75606946,31939177,22270022,15915970,8951144,5959624,4820,31939177,9938,2585,620,3407,72,70,56,60,22,36,11,23,42,5,3,19
"5","SRR9161507","APC055_918","Human gut","Virome",289.2,4282250065,14808998,120975,11399,2898,1114,486,265,168572364,87215534,62057307,49993244,40570009,32648308,11399,87215534,18449,2636,630,7579,191,175,146,140,49,83,35,57,75,24,11,45
"6","SRR9162906","APC055_918","Human gut","Mixed MG",149.8,784243722,5236862,103476,4419,1000,535,223,96,89937920,31769357,22124734,18891075,13978638,9552820,4419,31769357,18285,2469,312,2977,65,60,42,52,6,28,8,24,17,6,3,33
"7","SRR9161506","APC055_919","Human gut","Virome",287,11431800442,39826634,316763,33147,9662,4317,1730,860,488383303,275989584,206655347,170289801,130759050,100659356,33147,275989584,21194,2744,2046,21278,562,515,419,406,149,207,43,265,236,61,40,170
"8","SRR9162905","APC055_919","Human gut","Mixed MG",149.9,572949088,3821696,107349,5557,931,225,45,14,82464195,22795196,9487272,4769954,2231136,1135614,5557,22795196,4080,2251,1360,4481,34,33,28,30,7,18,9,6,11,4,3,14
"9","SRR9161501","APC055_920","Human gut","Virome",274.1,5451344794,19884690,108717,12960,3125,1083,361,134,146744705,73479662,44343284,30597903,19843539,11933821,12960,73479662,6975,2448,1832,9626,121,111,96,92,35,65,24,22,52,15,6,28
"10","SRR9162900","APC055_920","Human gut","Mixed MG",149.9,976744989,6517254,49620,5062,1829,776,281,93,65221612,39120378,29225599,21903672,14367763,7871674,5062,39120378,13270,2881,573,3431,58,56,44,43,9,24,13,19,29,2,1,23
