,SRR9161502,SRR9161504,SRR9161503,SRR9162903,SRR9161510,SRR9161505,SRR9162901,SRR9162902,SRR9162906,SRR9161500,SRR9162899,SRR9161509,SRR9161501,SRR9161507,SRR9162900,SRR9162905,SRR9162908,SRR9161506,SRR9162904,SRR9162907
SRR9161506_vRhyme_unbinned_143,0.6467704,0.31720886,0.6166902,0.18330976,0.028288543,0.53540784,0.33738804,0.3203206,0.53352195,0.54304576,0.5444602,0.7647336,0.43366337,0.5687883,0.38528997,0.6007544,0.6491278,1,0.332579,0.36435643
SRR9161505_vRhyme_unbinned_108,0.3009803,0.45738763,0.9138921,0.885631,0,0.97730285,0.026494745,0.8582531,0.5257441,0,0,0.40784246,0.82442814,0.17124437,0.15888016,0.08946392,0.040713593,0.24207366,0.8095028,0.12690982
SRR9161504_vRhyme_unbinned_104,0,1,0,0.18344699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014383137,0,0
SRR9161504_vRhyme_bin_20,0.27571884,1,0,0.75042987,0.003966565,0,0.06305647,0,0.15966702,0.004238947,0,0,0,0.055974532,0,0.005107165,0,0.22561754,0,0
SRR9162903_vRhyme_unbinned_28,0.7433444,0.8978298,0.015798394,0.99994534,0,0,0.06275625,0.025474224,0.7231181,0.029847482,0.079702616,0.3933745,0.78122777,0.11288471,0.4466189,0.03881266,0.07931996,0.8169245,0,0.04302192
SRR9161506_vRhyme_unbinned_183,0,0,0,0,0,0,0,0,0,0.0505313,0,0,0,0,0,0.6729614,0,0.9967083,0,0
SRR9161509_vRhyme_unbinned_139,0,0,0,0,0,0,0,0,0,0,0,0.9999444,0,0,0,0,0,0,0,0.16491462
SRR9162901_vRhyme_unbinned_47,1,0.026536973,0.021248465,0,0,0.078099914,0.9609973,0,0,0.4837095,0,0.026725847,0,0,0,0,0,0,0,0
SRR9162903_vRhyme_unbinned_30,0.015704388,0.9996151,0,0.9422633,0.321786,0,0,0,0,0.6894534,0.6413395,0.6167052,0,0,0,0,0.31070054,0,0,0.33818322
SRR9162908_vRhyme_unbinned_26,0.9934915,0.37166137,0.78121686,0.25147045,0.16714878,0.7227847,0.95564556,0.4833671,0.76072705,0.13648635,0.45795968,0.7911002,0.6703789,0.57655966,0.2920644,0.35811397,1,0.6730788,0.36915436,0.484717
SRR9162900_vRhyme_unbinned_31,0.9845272,0.99699557,0.30802935,0.8248416,0.9870559,0.36516362,0.8638241,0.20780651,0.9222353,0.9418142,0.81875765,0.9406625,1,0.93678176,1,0.6062192,0.99351543,0.8610701,0.35795298,0.8982249
SRR9161506_vRhyme_unbinned_330,0,0,0,0,0,0,0,0,0,0.037015945,0,0,0,0,0,0.6766009,0,1,0,0
