,SRR8487029,SRR8487034,SRR8487015,SRR8487030,SRR8487021,SRR8487010,SRR8487022,SRR8487020,SRR8487018,SRR8487035,SRR8487011,SRR8487013,SRR8487023,SRR8487039,SRR8487032,SRR8487025,SRR8487014,SRR8487036,SRR8487019,SRR8487017,SRR8487037,SRR8487024,SRR8487031,SRR8487027,SRR8487026,SRR8487028,SRR8487040,SRR8487038,SRR8487012,SRR8487016
SRR8487014_vRhyme_bin_28,0,0.62935656,0.5848656,0.008949829,0.89928573,0.7432661,0.5294742,0.5161355,0.6936118,0.92880297,0.40994233,0.0191905,0.899171,0.002552996,0,0,0.90528095,0.5758584,0.7297266,0.76747656,0,0.006196036,0.010527523,0.023493301,0.022518,0,0.019649465,0,0.011215972,0.5707237
SRR8487018_vRhyme_bin_107,0.02230951,0.9014331,0.22057876,0.003805199,0.85156655,0.7367355,0.9394544,0.8258201,0.98303,0.8294105,0.8583484,0.02178783,0.9148127,0.012888575,0.024703102,0.017430265,0.8409795,0.764538,0.8890662,0.7139043,0.021388898,0,0,0.015865222,0.015343542,0,0.009022003,0.006965968,0.020897904,0.8161537
SRR8487020_vRhyme_unbinned_111,0.042633176,0.9253154,0.6870597,0.10099969,0.9350617,0.78338116,0.989836,0.99590653,0.9474256,0.87059677,0.99621284,0.04202055,0.97627467,0.038985267,0.050959315,0.051042855,0.92333823,0.746735,0.9877475,0.99735457,0.015594108,0.004176993,0.041630697,0.013561305,0.024282254,0.11509009,0.025841665,0.09774164,0.052518725,0.99986076
SRR8487022_vRhyme_unbinned_642,0,0.914488,0.648825,0.006226809,0.99769694,0.663731,0.98306817,0.9347251,0.97044396,0.9994029,0.42092806,0.001492728,0.91039366,0.003305327,0.0635689,0,0.67027766,0.99712116,0.5899049,0.7322472,0,0,0,0.015716296,0.045272317,0.005693692,0.035398986,0,0.023670405,0.39147866
SRR8487022_vRhyme_unbinned_703,0.017871505,0.63071513,0.19908856,0,0.650076,0.8624192,0.9262205,0.9208888,0.78485686,0.58377266,0.7616835,0,0.76784915,0.00157865,0,0,0.55330175,0.48899412,0.87892056,0.9236589,0.012510053,0.004467876,0,0,0.004467876,0.017484289,0.00372323,0.006850743,0.002442439,0.8374885
SRR8487017_vRhyme_unbinned_41,0.26196885,0.9989906,0.99831766,0.4010767,0.9997116,0.9977889,0.9997116,0.99903864,0.99951935,0.99903864,0.99903864,0.47865796,1,0.7603826,0.2687464,0.32070756,0.9991348,0.9991348,0.9986541,0.99908674,0.27014035,0.07743703,0.38136896,0.50230724,0.39521247,0.23966545,0.44433764,0.20313402,0.5623919,1
SRR8487016_vRhyme_unbinned_155,0,0,0,0,0.01526405,0.017544886,0,0.008947892,0,0,0,0,0.017544886,0,0,0,0,0,0,0.2250424,0,0,0,0,0,0,0.052751623,0,0,0.99976605
SRR8487017_vRhyme_unbinned_495,0,0.9389207,0.62641007,0.198392,0.86319894,0.7268364,0.909855,0.5988306,0.919503,0.8647826,0.44794738,0.04443903,0.9538068,0.0403216,0.006480692,0,0.8318431,0.42114753,0.7172372,0.7929102,0.013570472,0.004921428,0.008819588,0,0.004385431,0,0.05486661,0,0.428822,0.5688391
SRR8487016_vRhyme_unbinned_210,0,0.97807914,0.6192426,0.025588537,0.96562606,0.8619072,0.958376,0.784971,0.9837086,0.9892528,0.87708974,0.018253155,0.98004097,0.033776868,0,0,0.9707438,0.9477141,0.93074036,0.78556806,0,0,0.012794268,0.008017741,0,0,0.024906175,0,0.07045377,0.7147731
SRR8487017_vRhyme_unbinned_357,0,0.013309672,0.1395741,0.060869563,0.20159715,0.99299026,0.060869563,0.23309672,0.05891748,0.12803905,0.7184561,0,0.10860692,0,0,0,0.15865129,0,0.768323,0.99991125,0,0,0,0,0,0,0,0,0,0.5760426
