,SRR9162900,SRR9161506,SRR9161509,SRR9161503,SRR9162908,SRR9162903,SRR9162902,SRR9161501,SRR9162899,SRR9161504,SRR9162904,SRR9161505,SRR9162907,SRR9161507,SRR9162906,SRR9162901,SRR9161510,SRR9161502,SRR9162905,SRR9161500
vRhyme_unbinned_19__SRR9162906_435_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
vRhyme_unbinned_19__SRR9162906_435_3,2,309,330,81,160,63,95,34,59,38,4,3,121,49,158,57,0,400,61,0
vRhyme_unbinned_19__SRR9162906_435_13,0,10,0,0,46,0,0,0,9,0,0,0,2,0,22,4,0,0,5,0
vRhyme_unbinned_53__SRR9162906_141_2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0
vRhyme_unbinned_53__SRR9162906_141_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
vRhyme_unbinned_53__SRR9162906_141_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
vRhyme_unbinned_55__SRR9162906_133_fragment_1_2,0,11,39,3,6,1,4,0,15,0,21,4,39,4,27,13,0,41,9,1
vRhyme_unbinned_8__SRR9162906_52_fragment_1_43,46,743,104,241,41,31,24,541,41,261,2,2,12,810,424,0,12,15,89,82
vRhyme_unbinned_8__SRR9162906_52_fragment_1_44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,1,0
vRhyme_unbinned_8__SRR9162906_52_fragment_1_45,3,103,9,21,11,0,1,102,0,21,2,3,3,78,60,0,4,0,2,11
vRhyme_bin_8__SRR9162906_494_1,16,173,33,5,0,1,3,66,39,20,0,0,28,6,9,2,0,25,61,12
vRhyme_bin_8__SRR9162906_494_2,40,603,101,41,0,5,10,70,102,62,4,1,56,45,31,8,0,50,161,24
vRhyme_bin_8__SRR9162906_494_8,86,1441,281,169,0,6,31,414,151,107,0,6,71,93,59,30,0,138,182,382
vRhyme_bin_8__SRR9162906_416_3,95,2380,443,265,0,13,50,656,282,195,6,4,140,137,109,25,0,286,253,529
vRhyme_bin_8__SRR9162906_416_5,56,607,45,48,0,26,27,200,224,36,1,0,9,46,62,32,0,92,167,40
vRhyme_unbinned_32__SRR9162906_325_fragment_1_1,9,0,0,0,0,0,0,12,6,0,0,0,0,180,59,41,0,70,1,0
vRhyme_unbinned_32__SRR9162906_325_fragment_1_5,0,0,0,0,0,0,0,0,0,0,0,0,0,352,114,0,0,0,0,0
vRhyme_unbinned_32__SRR9162906_325_fragment_1_8,0,0,0,0,0,0,0,0,0,0,0,0,0,147,48,19,0,44,0,0
vRhyme_unbinned_32__SRR9162906_325_fragment_1_10,0,0,0,0,0,0,0,0,0,0,0,0,0,65,30,7,0,17,0,0
vRhyme_unbinned_43__SRR9162906_446_2,10,253,28,15,202,31,13,59,0,23,6,15,18,75,132,24,4,134,58,0
vRhyme_unbinned_41__SRR9162906_60_fragment_1_51,0,29,7,10,19,0,29,0,41,0,0,6,12,13,53,3,0,21,3,0
vRhyme_unbinned_41__SRR9162906_60_fragment_1_52,0,41,19,17,36,0,29,0,56,0,6,4,4,65,71,3,0,35,16,0
vRhyme_unbinned_41__SRR9162906_60_fragment_1_53,0,0,0,13,0,0,26,0,0,0,0,3,0,83,71,4,0,20,0,0
vRhyme_unbinned_41__SRR9162906_60_fragment_1_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0
vRhyme_unbinned_41__SRR9162906_60_fragment_1_58,0,9,7,31,9,5,47,0,12,2,0,4,12,99,157,18,0,84,0,0
vRhyme_unbinned_37__SRR9162906_219_6,24,1622,643,137,198,1629,338,90,16,283,184,316,651,39,926,132,3,525,315,10
vRhyme_unbinned_2__SRR9162906_302_fragment_1_11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0
vRhyme_unbinned_2__SRR9162906_302_fragment_1_12,0,0,0,16,18,0,9,0,0,0,0,0,0,101,135,0,4,0,0,0
vRhyme_unbinned_2__SRR9162906_302_fragment_1_13,0,49,0,18,23,7,6,0,1,2,0,0,0,108,65,3,6,12,6,0
vRhyme_unbinned_2__SRR9162906_302_fragment_1_16,0,7,0,21,52,29,0,0,0,35,0,0,0,135,120,2,10,0,4,2
vRhyme_unbinned_42__SRR9162906_449_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vRhyme_unbinned_36__SRR9162906_477_1,28,6,244,69,1200,0,28,243,2,0,14,83,39,153,344,351,8,2717,1,6
vRhyme_unbinned_16__SRR9162906_80_6,0,0,3,0,0,0,0,0,0,0,0,0,0,195,22,0,0,15,0,0
vRhyme_unbinned_16__SRR9162906_80_10,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_17,0,0,0,0,0,0,0,0,0,0,0,0,0,40,22,0,0,5,0,0
vRhyme_unbinned_16__SRR9162906_80_19,0,0,3,0,0,0,0,0,0,0,0,0,1,328,39,7,0,11,0,0
vRhyme_unbinned_16__SRR9162906_80_22,0,0,0,0,0,0,0,0,0,0,0,0,0,116,19,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_23,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_26,0,0,0,0,0,0,0,0,0,0,0,0,2,259,39,0,33,9,0,0
vRhyme_unbinned_16__SRR9162906_80_29,0,0,89,0,0,0,0,0,0,0,0,0,15,1189,134,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_30,0,0,10,0,0,0,0,0,0,0,0,0,6,506,47,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_31,0,0,0,0,0,0,0,0,0,0,0,0,0,144,31,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_32,0,0,21,0,5,0,0,0,0,0,0,0,1,762,117,6,39,46,0,2
vRhyme_unbinned_16__SRR9162906_80_37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_38,0,0,12,0,1,0,0,0,0,0,0,0,0,188,30,1,0,19,0,0
vRhyme_unbinned_16__SRR9162906_80_39,0,0,7,0,0,0,0,0,0,0,0,0,0,201,63,0,0,22,0,0
vRhyme_unbinned_16__SRR9162906_80_42,0,0,12,0,1,0,0,0,0,0,0,0,2,177,24,0,2,32,0,0
vRhyme_unbinned_16__SRR9162906_80_45,0,0,0,0,1,0,0,0,0,0,0,0,0,937,141,0,0,0,0,2
vRhyme_unbinned_16__SRR9162906_80_47,0,0,60,0,10,0,0,0,18,0,0,0,26,2037,290,23,21,227,0,4
vRhyme_unbinned_16__SRR9162906_80_49,0,0,0,0,3,0,0,0,0,0,0,0,0,402,82,4,3,32,0,0
vRhyme_unbinned_16__SRR9162906_80_51,0,0,102,0,8,0,0,0,0,0,0,0,5,1675,192,13,2,130,0,2
vRhyme_unbinned_16__SRR9162906_80_54,0,0,0,0,0,0,0,0,0,0,0,0,0,108,29,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_55,0,0,0,0,1,0,0,0,0,0,0,0,0,152,22,0,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_57,0,0,0,0,1,0,0,0,0,0,0,0,0,101,39,1,0,0,0,0
vRhyme_unbinned_16__SRR9162906_80_58,0,0,0,0,0,0,0,0,0,0,0,0,0,95,26,0,0,7,0,0
vRhyme_unbinned_16__SRR9162906_80_61,0,0,0,0,1,0,0,0,0,0,0,0,0,29,28,1,0,7,0,0
vRhyme_unbinned_16__SRR9162906_80_64,0,0,0,0,0,0,0,0,0,0,0,0,2,215,63,0,0,4,0,0
