,SRR9162899,SRR9162906,SRR9161507,SRR9162908,SRR9161510,SRR9161509,SRR9162905,SRR9161500,SRR9161503,SRR9162907,SRR9161502,SRR9162900,SRR9161506,SRR9162904,SRR9161505,SRR9161501,SRR9161504,SRR9162901,SRR9162903,SRR9162902
SRR9161506_vRhyme_unbinned_143,1.753055,1.2873234,2.355754,2.9121242,0,18.938477,1.3549038,2.3076189,5.584635,0.74041015,8.219743,0.79566467,42.358093,0.9413452,6.1492934,2.2501328,1.8155351,0.5911168,0.467538,0.6798427
SRR9161505_vRhyme_unbinned_108,0,1.0535945,0.18047132,0,0,0.82897484,0,0,6.3625336,0.12826887,0.5984886,0.16774386,0.38430944,2.5317688,7.7086606,4.257731,0.98816746,0,6.0303273,4.3285275
SRR9161504_vRhyme_unbinned_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.90301,0,0.239466,0
SRR9161504_vRhyme_bin_20,0,0.22305454,0,0,0,0,0,0,0,0,2.7557466,0,0.41393995,0,0,0,32.25545,0,4.2870884,0
SRR9162903_vRhyme_unbinned_28,0,2.5800722,0.11237675,0,0,0.9560904,0,0,0,0,2.7896993,0.9798518,3.58687,0,0,4.6560106,6.474677,0,8.078755,0
SRR9161506_vRhyme_unbinned_183,0,0,0,0,0,0,1.9128803,0,0,0,0,0,20.384466,0,0,0,0,0,0,0
SRR9161509_vRhyme_unbinned_139,0,0,0,0,0,71.84016,0,0,0,0.23125818,0,0,0,0,0,0,0,0,0,0
SRR9162901_vRhyme_unbinned_47,0,0,0,0,0,0,0,1.0075556,0,0,75.323616,0,0,0,0,0,0,4.0685325,0,0
SRR9162903_vRhyme_unbinned_30,2.6837142,0,0,0.4575978,0.5851506,5.8945136,0,10.072603,0,0.4453098,0,0,0,0,0,0,40.226982,0,3.5326238,0
SRR9162908_vRhyme_unbinned_26,3.2575266,4.3057084,3.4371965,34.561672,0.22051366,19.429426,2.4360094,0.15819575,4.7902236,4.11514,122.56782,0.49719435,25.740046,0.6637531,3.2247221,8.172062,2.6238265,9.634456,0.74765295,1.8585303
SRR9162900_vRhyme_unbinned_31,7.4788485,17.735794,120.82875,20.042639,12.902437,96.825066,7.963505,15.26119,31.196213,18.730545,82.028145,61.483624,107.20065,3.3177338,5.587468,194.9965,61.482674,20.6802,5.873007,4.0874543
SRR9161506_vRhyme_unbinned_330,0,0,0,0,0,0,2.102768,0,0,0,0,0,23.987438,0,0,0,0,0,0,0
