,SRR8487021,SRR8487020,SRR8487015,SRR8487022,SRR8487040,SRR8487010,SRR8487035,SRR8487024,SRR8487013,SRR8487037,SRR8487032,SRR8487025,SRR8487034,SRR8487027,SRR8487017,SRR8487029,SRR8487014,SRR8487028,SRR8487023,SRR8487012,SRR8487011,SRR8487019,SRR8487030,SRR8487016,SRR8487036,SRR8487026,SRR8487031,SRR8487038,SRR8487039,SRR8487018
SRR8487014_vRhyme_bin_28,3.9061704,1.3269187,1.1343838,1.9433664,0,3.0836265,4.8675537,0,0,0,0,0,1.8451132,0,3.8981628,0,3.4940104,0,3.3265312,0,1.151206,2.3221078,0,2.7510898,1.3942075,0,0,0,0,4.081496
SRR8487018_vRhyme_bin_107,3.355174,3.5680168,0.2265391,4.452218,0,1.7375339,2.7461715,0,0,0,0,0,3.0258784,0,1.7503699,0,2.4005299,0,3.379848,0,3.274063,3.3240304,0,4.272618,2.583778,0,0,0,0,5.6690183
SRR8487020_vRhyme_unbinned_111,5.398291,7.5047073,1.6354202,6.316918,0,3.775703,3.739506,0,0,0,0,0,3.0839212,0,9.986702,0,3.1733105,0.0728911,6.80261,0,9.145534,6.7740874,0.05831909,18.913158,1.7520274,0,0,0,0,3.9330122
SRR8487022_vRhyme_unbinned_642,6.9616356,2.7557642,1.1474684,5.6671977,0,1.1866413,10.998836,0,0,0,0,0,2.6765392,0,1.4443784,0,1.3404564,0,3.1032565,0,0.5676967,1.0131686,0,0.51509386,6.605562,0,0,0,0,4.3222013
SRR8487022_vRhyme_unbinned_703,1.2610618,3.4826303,0.20012632,3.5964563,0,2.1566105,0.9558193,0,0,0,0,0,0.98005384,0,2.9737709,0,0.8799907,0,1.7505734,0,1.765666,2.7703533,0,2.2078722,0.6959875,0,0,0,0,2.2002592
SRR8487017_vRhyme_unbinned_41,125.39688,81.48392,23.623938,111.13136,0.71742874,87.216354,99.825226,0,0.7308768,0.27455622,0.2838623,0.37504035,103.2752,0.83690155,83.08854,0.2916622,99.79613,0.2162453,123.79392,0.98703605,79.42663,79.71189,0.56304467,116.37246,83.98031,0.5764927,0.5683163,0.18128026,1.908553,159.97682
SRR8487016_vRhyme_unbinned_155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3668961,0,0,0,0,0,0,0,0,11.550967,0,0,0,0,0,0
SRR8487017_vRhyme_unbinned_495,2.5937457,1.0241802,1.0475997,2.8848317,0,1.3003504,2.5058277,0,0,0,0,0,3.2314506,0,1.8173717,0,2.236966,0,3.2844024,0.5915723,0.59678864,1.2531312,0.20216264,0.8790991,0.51218516,0,0,0,0,3.155514
SRR8487016_vRhyme_unbinned_210,8.3507395,1.8275101,1.0018238,4.631791,0,2.022653,7.3015933,0,0,0,0,0,6.459589,0,2.0253408,0,6.1849685,0,7.0520253,0,2.4034364,3.4639087,0,1.7552314,4.335381,0,0,0,0,12.085141
SRR8487017_vRhyme_unbinned_357,0.26768586,0.26278976,0.1478817,0,0,9.964429,0.18914868,0,0,0,0,0,0,0,13.47462,0,0.1628697,0,0.07973621,0,1.7352118,2.6845524,0,1.2507994,0,0,0,0,0,0
