gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
EGNDLYYE_CDS_0001	1	1491	+	vRhyme_unbinned_566__Ga0485184_000256	-1019086.035134091	5902	117.0	0.26	2.4770000000000003e-30	p7962 VI_07028	5902	161.420181	6.999983409973393e-47	No_custom_HMM	No_custom_HMM	No_custom_HMM	5902	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0002	1491	1748	+	vRhyme_unbinned_566__Ga0485184_000256	-3.2011301514604105	10346	64.0	0.52	1.742e-16	NC_008562_p164	10346	87.035629	2.4109747012294182e-24	No_custom_HMM	No_custom_HMM	No_custom_HMM	10346	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0003	1748	1918	+	vRhyme_unbinned_566__Ga0485184_000256	-2.1314092686529174	16028	84.0	0.857	3.1169999999999998e-24	NC_025461_p45	16028	89.217369	3.0277880929044873e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	16028	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0004	1921	2118	+	vRhyme_unbinned_566__Ga0485184_000256	-6.910225069732997	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0005	2118	2258	+	vRhyme_unbinned_566__Ga0485184_000256	-0.9105792923502882	2423	53.0	0.595	4.017e-13	KY435490_p57	2423	62.463036	5.732501544624617e-17	No_custom_HMM	No_custom_HMM	No_custom_HMM	2423	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0006	2260	4440	+	vRhyme_unbinned_566__Ga0485184_000256	-54809935841.26788	156	302.0	0.329	2.2119999999999998e-88	NC_016767_p7	156	446.008759	4.6952711300628354e-133	No_custom_HMM	No_custom_HMM	No_custom_HMM	156	PHANOTATE	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0007	4437	4799	+	vRhyme_unbinned_566__Ga0485184_000256	-302.6011647939289	858	85.0	0.395	1.3899999999999998e-22	NC_027364_p55	858	94.858177	1.0638259486086216e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	858	PHANOTATE	CDS	#a861e3	starvation-inducible transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0008	4803	5105	+	vRhyme_unbinned_566__Ga0485184_000256	-7.691935316740248	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0009	5105	5338	+	vRhyme_unbinned_566__Ga0485184_000256	-6.690070701878756	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
EGNDLYYE_CDS_0010	5350	6840	+	vRhyme_unbinned_566__Ga0485184_000256	-8501.962476477045	29288	54.0	0.689	1.04e-09	NC_020838_p9	9942	76.55117	2.3396058696235876e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	29288	PHANOTATE	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
