,ERR594391,ERR594354,ERR594389,ERR599121,ERR599118,ERR594392,ERR594380,ERR594404,ERR599023,ERR594415,ERR599122,ERR594364,ERR594355,ERR594379,ERR599110,ERR599133,ERR599146,ERR599017,ERR599126,ERR594407,ERR599005,ERR599165,ERR594353,ERR598984,ERR594382,ERR594377,ERR594412,ERR594362,ERR594359,ERR599148,ERR594409,ERR599173,ERR594388,ERR599150,ERR598982,ERR599144,ERR594385,ERR599006,ERR599044,ERR599174,ERR599065,ERR594411
ERR594392__vRhyme_unbinned_120,0.36556384,0.39864865,1.9670705,0,0,6.350342,0,0,0.35438025,0.17707363,0,0.5949829,0.36898106,0.32572228,0.06748991,0,0.09948742,0,0.33480895,0,0,0,0.07292637,1.1387854,0.2927928,0,0.068188876,0.490292,0.7819975,0.17458838,0,0,0,0.78953093,0,0,12.378068,0.24922337,0,0,0,0
ERR599144__vRhyme_unbinned_1,0,0,0,0,0,0,0,0.120733894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.48268,0,0,0,0,0,0
ERR594388__vRhyme_unbinned_985,0,0,0,0,0,0.10354931,0,0,0,0,0,0.5746154,0,109.9719,0,5.6109076,0,0,0,0,0,0,0,0.24425651,0,0,0,0,0,0,0,0,13.830459,0,0,0,0,0,0,0,0,0
ERR594382__vRhyme_unbinned_389,0.55838543,2.5649102,0.7183099,0,0,7.2180624,0,0,0,1.1001664,0,6.850335,2.1656168,3.9211178,0,0,0,0,0,0,0,0,6.2989697,0.94937676,4.6751113,0,0,0.5506457,4.371957,0,0,0,17.262611,0,0,0,16.86019,0,0,0,0,0.32572109
ERR594379__vRhyme_unbinned_287,0,0,0,0,0,0,0,0,0,0,0,0,0,35.07151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8211191,0,0,0,0,0,0,0,0,0
ERR594364__vRhyme_unbinned_706,0.08344761,0.23169227,0.099218324,0,0,1.9586533,0,0,0,0.47349834,0,22.122772,0.57377946,0,0,0,0,0,0,0,0.11426906,0,1.2017965,5.5198507,1.2986492,0,0.40530717,0.09942403,1.6465304,0,0,0,18.530273,0,0,0,0.23429786,0,0,0,0,0.08403044
ERR594382__vRhyme_unbinned_318,0,0.059121095,1.480969,0,0,2.581896,0,0,0,0,0,0,0.14333467,0,0,0,0.18440522,0,0,0,0,0,2.262691,0,7.0605025,0,0.17020991,2.1619868,10.748473,0,0,0,0,0,0,0,2.9692695,0,0,0,0,0
ERR594391__vRhyme_unbinned_591,23.25583,0.14428523,9.41936,0.108463846,0,0,0,0,0,31.663946,0.15786405,0,0.29615128,0.9278574,0,0,0,0,0,0,0,0,10.117461,0,0,12.607798,0,7.0660615,0,0,14.906447,0,1.1578641,0,0,0,0.09321893,0,0,0,0,1.2307564
ERR594388__vRhyme_unbinned_693,0,1.7409259,0,0,0,0,0,0,0,0,0,6.2974353,0.78417736,10.279505,0,0,0,0,0.16615953,0,0,0,0,0.5750924,0,0,0,0,0,0,0,0,17.041187,0,0,0,0.120734625,0,0,0,0,0
ERR594385__vRhyme_unbinned_596,0,0.15710737,0.16644372,0,0,1.8606645,0,0,0,0,0,1.5745134,0.4751986,3.867544,0,0,0,0,0,0,0,0,0.70159155,0.5321176,0,0,0.07548252,0,0,0,0,0,1.0971309,0,0,0,14.820643,0,0,0,0,0
ERR594355__vRhyme_unbinned_466,0,116.46061,0,0,0,10.094333,0,0,0,0,0,1.6231382,67.32337,0,0,0,0,0,3.9184074,0,0,0,0,0,0.27081966,0,1.999157,0.0993911,0.3215925,3.2085247,0,0,0.28861827,0,0,0,0,0,0,0,0,1.6630445
ERR594388__vRhyme_unbinned_815,3.6560059,7.551724,1.2419002,0,0,1.7184082,0,0,0,2.355558,0,0.90561515,27.653402,20.210127,0,0.14470257,0,0,0,0,0,0,10.748098,0.11240754,0.4902594,0,0.5768309,1.3822273,0.12459631,0.58776957,0.07344515,0,18.742994,0,0,0,0.40973017,0.7613293,0,0,0,45.229294
ERR594377__vRhyme_unbinned_247,0,0,0,0.96016073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.55387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR594355__vRhyme_unbinned_110,3.9592953,46.668377,4.8505216,0,0.5655892,31.87267,0.4613477,0,0.089020014,1.1782111,0,46.748077,39.61399,7.2717633,0,0,0,0,2.5785017,0,1.0312126,0.07910039,30.255943,13.263383,12.806311,0,31.922268,3.6540961,12.630494,3.373867,0,0,46.520695,0.48452199,0,0,22.934923,0.48631778,0,0,0.21327177,14.835471
ERR594353__vRhyme_unbinned_223,5.758066,3.2608552,3.552554,0,0,4.596303,0,0,0,6.926173,0,1.1176857,14.127748,82.571144,0,0.24718364,0,0,0.12895112,0,0,0,36.37865,0.22530898,1.5464289,0,0.16635677,3.690911,1.4044625,0.47610193,0,0,26.4364,0,0,0,2.8733456,0.19271573,0,0,0,12.671443
