sample,genome,taxonomy,source
SRR9162906,SRR9162906__vRhyme_unbinned_13,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;NA;NA,marker VOG HMM searching
SRR9162906,SRR9162906__vRhyme_unbinned_10,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;NA;NA,marker VOG HMM searching
SRR9162906,SRR9162906__vRhyme_unbinned_30,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162906,SRR9162906__vRhyme_unbinned_24,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162906,SRR9162906__vRhyme_unbinned_11,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162906,SRR9162906__vRhyme_bin_7,r__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes;o__Algavirales;NA;NA;NA,vContact2 clustering
SRR9162905,SRR9162905__vRhyme_unbinned_3,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Clostridium phage CI461P1,NCBI RefSeq viral protein searching
SRR9162905,SRR9162905__vRhyme_unbinned_28,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Crevaviridae;Kingevirus;uncultured phage cr13_1,NCBI RefSeq viral protein searching
SRR9162905,SRR9162905__vRhyme_unbinned_22,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162905,SRR9162905__vRhyme_unbinned_12,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162905,SRR9162905__vRhyme_unbinned_14,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162905,SRR9162905__vRhyme_unbinned_30,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162905,SRR9162905__vRhyme_unbinned_2,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_15,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_25,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
SRR9162907,SRR9162907__vRhyme_unbinned_24,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
